name,Eligibility,Region,Deadline,Award,Description,Email,Contact Number,link,category,Links,contactDetails
"Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scholarship Scheme, Maharashtra 2024-25",EBC category students applying for specified UG medical degree courses,India,Closed,50% reimbursement of tuition and development fees,"Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scholarship Scheme, Maharashtra 2024-25 is launched by the Maharashtra State Government to help economically weaker section (EBC) students pursue higher education. The primary objective of this scheme is to enable EBC students to enroll in professional courses like MBBS, BDS, BAMS, BHMS, BPTh, BOT, B.Sc Nursing, BUMS, BP&O, and BASLP. The scheme provides up to 50% reimbursement of tuition fees and development charges to students.Source:Aaple Sarkar DBT Portal",Null,1800-120-8040,https://mahadbtmahait.gov.in,mixed,"{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51ADB3BC6C89611BF9A', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/33.pdf', 'Original website': 'https://mahadbtmahait.gov.in'}","Directorate of Medical Education Research, Government of Maharashtra
Helpline Number:
(022)-49150800, 1800-120-8040"
"DOA Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme, Maharashtra 2024-25",Students enrolled in professional courses,India,Closed,Reimbursement of up to 100% tuition and exam fees,"DOA Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme, Maharashtra 2024-25 is an initiative of the Directorate of Art, Government of Maharashtra to provide financial assistance to economically weaker sections of society in the state who are admitted to professional courses. Selected students will receive a reimbursement of up to 100% of tuition and exam fees.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/Home/Index,mixed,"{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A4CECAB91C2B36920', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/24.pdf', 'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index'}","Directorate of Art, Government of Maharashtra
411, Fourth Floor, Mantralaya Annex,
Madam Cama Road, Nariman Point,
Mumbai - 400032
Phone Number:
(022)-22025301"
"Scholarship to Meritorious Students Possessing Mathematics/Physics, Maharashtra 2024-25",Students pursuing Graduation degree in Science,India,Closed,₹100 per month,"Scholarship to Meritorious Students Possessing Mathematics/Physics, Maharashtra 2024-25, is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra, to provide financial assistance to meritorious students pursuing a graduation degree in Science with Mathematics or Physics as their main subjects. Selected candidates will receive a scholarship of ₹100 per month.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/Home/Index,monetary,"{'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Media Link': 'https://www.buddy4study.com/scholarship/scholarship-to-meritorious-students-possessing-mathematics-physics-maharashtra', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A4BBDC0D4DC8452FB'}","Directorate of Higher Education (DHE), Government of Maharashtra
411, Fourth Floor, Mantralaya Annex,
Madam Cama Road, Nariman Point,
Mumbai - 400032
Phone Number:
(022)-22025301"
"MCAER Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (AGR), Maharashtra 2024-25",Children of Registered Labourers and Marginal Farmers,India,Closed,"Up to ₹30,000 for 10 months","MCAER Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (AGR), Maharashtra 2024-25, is an initiative of the Maharashtra Council of Agriculture Education and Research (MCAER) to provide financial assistance to children of registered labor and marginal land farmers. The selected students will receive up to ₹30,000 for 10 months.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/Home/Index,monetary,"{'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AD36E29BD04FB95F2', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/25.pdf'}","Maharashtra Council Of Agriculture Education And Research (MCAER), Government of Maharashtra
Maharashtra Council of Agriculture Education and Research
132/B, Bhanbhurde, Bhosle Nagar,
Pune - 411007"
"MCAER Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna (EBC) Students, Maharashtra 2024-25",Students enrolled in UG/PG/diploma courses,India,Closed,A reimbursement of 50% of tuition fees and 50% of exam fees,"MCAER Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna (EBC) Students, Maharashtra 2024-25 is an initiative of the Maharashtra Council Of Agriculture Education And Research (MCAER), Government of Maharashtra to provide financial assistance to EBC (Economic Backward Class) students enrolled in a professional, non-professional and technical diploma/degree/postgraduate courses. A 50% reimbursement of tuition and examination fees will be provided to selected students.Source:Aaple Sarkar DBT Portal",mcaer@rediffmail.com,Null,https://mahadbt.maharashtra.gov.in/Home/Index,mixed,"{'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/24.pdf', 'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A50495B1E79CEAF71'}","Maharashtra Council Of Agriculture Education And Research (MCAER),
Government of Maharashtra
132/B, Bhamburda, Bhosale Nagar,
Pune - 411007
Email ID:
mcaer@rediffmail.com
Administration Department:
(020) 25528208 (Ext. 137)
Education Department:
(020) 25528688 (Ext. 125)
Research Department:
(020) 25528688 (Ext. 145)"
"Education Concession to Children of Freedom Fighters, Maharashtra 2024-25","Wards, wives, or widows of freedom fighters pursuing UG and PG courses",India,Closed,A monthly scholarship of up to ₹600 and an annual book allowance of up to ₹400,"Education Concession for Children of Freedom Fighters, Maharashtra 2024-25, is an initiative of the Directorate of Higher Education, Government of Maharashtra. It provides financial assistance to wards, wives, or widows of freedom fighters pursuing graduation or postgraduation courses. Selected students will receive a monthly scholarship of up to ₹60 and an annual book allowance of up to ₹400.Source:Aaple Sarkar DBT Portal",director.dhepune@nic.in,Null,https://mahadbt.maharashtra.gov.in/,monetary,"{'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/22.pdf', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A9A3C313414F8286F', 'Original website': 'https://mahadbt.maharashtra.gov.in/'}","Directorate of Higher Education
412, E, Bahirat Patil Chowk
Model Colony, Shivaji Nagar
Pune - 411016
Email ID:
director.dhepune@nic.in
| Phone Number:
(020) 26122119"
"MAFSU Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna, Maharashtra 2024-25",Children of registered labourers and marginal farmers,India,Closed,"Up to ₹30,000 for 10 months","MAFSU Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna, Maharashtra 2024-25 is an initiative by the Maharashtra Animal and Fishery Sciences University (MAFSU), Government of Maharashtra, to provide financial assistance to students who are children of registered labourers and marginal farmers pursuing higher education. Selected students will receive up to ₹30,000 for 10 months.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/Home/Index,monetary,"{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AE5A44C72C454E753', 'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/25.pdf'}","Department of Maharashtra Animal and Fishery Sciences University(MAFSU),
Government of Maharashtra
Futala Lake Road, Nagpur - 440 001
Registrar Office:-
Phone Number:
(0712)-2511784; (0712)-2511785; (0712)-2511787 |
Fax Number:
(0712)-2511273"
"Maintenance Allowance to VJNT and SBC Students in Professional Courses, Maharashtra 2024-25",VJNT and SBC students enrolled in professional courses,India,Closed,"Monthly maintenance allowance up to ₹1,000 for 10 months","Maintenance Allowance to VJNT and SBC Students in Professional Courses 2024-25, Maharashtra is an initiative of the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra, to provide financial help to Vimukta Jati and Nomadic Tribes (VJNT) and Special Backward Class (SBC) category students who are pursuing professional courses and residing in hostels attached to professional colleges. The selected students will receive a monthly maintenance allowance of up to ₹1,000 for 10 months.Source:Aaple Sarkar DBT Portal",jdvjnt@maharashtra.gov.in,18001208040,https://mahadbt.maharashtra.gov.in/Home/Index,monetary,"{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A66AC4BAB6E4DB665', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/31.pdf', 'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index'}","VJNT, OBC and SBC Welfare Department, Maharashtra
3 Church Road, Pune 1
Email ID:
jdvjnt@maharashtra.gov.in
| Phone Number
: 18001208040"
"DOA Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna, Maharashtra 2024-25",Wards of marginal farmers or registered laborers pursuing professional courses,India,Closed,"Up to ₹30,000 for 10 months","DOA Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna, Maharashtra 2024-25 is a scheme offered by the Directorate of Art, Government of Maharashtra, aimed at providing financial assistance to students from the Economically Weaker Section (EWS) category who are pursuing professional courses in recognized institutions within the state. Selected students can receive up to ₹30,000 for 10 months.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/Home/Index,monetary,"{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AFF59C835471DFEAE', 'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/25.pdf'}","Director of Art, Government of Maharashtra
411, Fourth Floor, Mantralaya Annex,
Madam Cama Road, Nariman Point,
Mumbai - 400032
Phone Number:
(022)-22025301"
"Jawaharlal Nehru University Scholarship, Maharashtra 2024-25",Undergraduate or Postgraduate students studying at Jawaharlal Nehru University,India,Closed,"₹8,000 per month with an additional allowance of ₹10,000 per annum","awaharlal Nehru University Scholarship, Maharashtra 2024-25 is an initiative of the Directorate of Higher Education, Government of Maharashtra. It provides financial assistance to Undergraduate (UG) and Postgraduate (PG) students enrolled at Jawaharlal Nehru University. Selected students will receive a monthly scholarship of ₹8,000 and an annual additional allowance of ₹10,000.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/Home/Index,monetary,"{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51ABF4E10E281A07733', 'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index'}","Directorate of Higher Education (DHE), Government of Maharashtra
411, Fourth Floor, Mantralaya Annex,
Madam Cama Road, Nariman Point,
Mumbai - 400032
Phone Number:
(022)-22025301"
"State Minority Scholarship for Pursuing Higher Professional Education Scholarship (Part I), Maharashtra 2024-25",Minority students pursuing professional or technical courses,India,Closed,"Up to ₹50,000 per annum or tuition and exam fees (whichever is less)","State Minority Scholarship for Pursuing Higher Professional Education Scholarship (Part I) 2024-25 is an initiative of the Minority Development Department, Government of Maharashtra to provide financial aid to students belonging to religious minority communities for pursuing professional or technical degree/diploma courses. The selected students will receive up to ₹50,000 per annum or actual tuition and exam fees (whichever is less).Source:Aaple Sarkar DBT Portal",desk1.end-mah@gov.in,Null,https://mahadbtmahait.gov.in/,mixed,"{'Original website': 'https://mahadbtmahait.gov.in/', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A10CD9E828AFD9209', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/26.pdf'}","Minority Development Department
5th & 7th Floor,
Mantralaya Extension Building
Hutatma Rajaguru Chowk
Madam Kema Marg, Mumbai - 40032
Email ID:
desk1.end-mah@gov.in
| Phone Number:
(022) 22830626"
"Scholarship for Minority Students Pursuing Higher and Professional Courses (DMER), Maharashtra 2024-25",Students pursuing specified medical courses,India,Closed,"Total annual course fees or ₹50,000 (whichever is less)","Scholarship for Minority Students Pursuing Higher and Professional Courses (DMER), Maharashtra 2024-25 is an initiative of the Minority Development Department, Government of Maharashtra to provide financial assistance to minority students pursuing specified health science courses. Selected students will receive a scholarship amount of either the total annual course fee or ₹50,000, whichever is less.Source:Aaple Sarkar DBT Portal",desk1.end-mah@gov.in,Null,https://mahadbt.maharashtra.gov.in/Home/Index,mixed,"{'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/35.pdf', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A61FF7871E24FE19D', 'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index'}","Minority Development Department
5th & 7th Floor,
Mantralaya Extension Building
Hutatma Rajaguru Chowk
Madam Kema Marg, Mumbai - 40032
Email ID:
desk1.end-mah@gov.in
| Phone Number:
(022) 22830626"
"Assistance to Meritorious Students Scholarship - Junior Level, Maharashtra 2024-25",Students studying in Class 11 and 12,India,Closed,"A monthly scholarship of up to ₹2,300, depending on the course","Assistance to Meritorious Students Scholarship - Junior Level, Maharashtra 2024-25 is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra, to provide financial assistance to students of Class 11 and 12 who wish to pursue higher education. Selected students will receive a scholarship ranging from ₹1,600 to ₹2,300, depending on the course.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/Home/Index,monetary,"{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A974A58E65FA75F28', 'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index'}","Directorate of Higher Education (DHE), Government of Maharashtra
411, Fourth Floor, Mantralaya Annex,
Madam Cama Road, Nariman Point,
Mumbai - 400032
Phone Number:
(022)-22025301"
"Maintenance Allowance for SC Students in Professional Courses, Maharashtra 2024-25",Scheduled Caste (SC) category students pursuing professional courses,India,Closed,"A monthly maintenance allowance up to ₹1,000","Maintenance Allowance for SC Students in Professional Courses, Maharashtra 2024-25 is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra to provide financial assistance to Scheduled Caste (SC) students of the state who are enrolled in professional courses. The selected candidates will receive a monthly maintenance allowance of up to ₹1,000.Source:Aaple Sarkar DBT Portal",min.socjustice@maharashtra.gov.in,Null,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AB210B3E0B1AA642F,monetary,{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AB210B3E0B1AA642F'},"Social Justice & Special Assistance Department, Government of Maharashtra
1st Floor, Annex Building,
Mantralay, Madam Cama Road,
Hutatma Rajguru Chowk,
Nariman Point, Mumbai - 400032
Email ID:
min.socjustice@maharashtra.gov.in |
Helpline Number:
(022)-22025251"
"Post-Matric Tuition Fee and Examination Fee (Freeship), Maharashtra 2024-25",Students studying in Class 11 and above,India,Closed,"A reimbursement of tuition fees, exam fees and other admissible fees","Post-Matric Tuition Fee and Examination Fee (Freeship), Maharashtra 2024-25 is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra to provide financial assistance to the students studying in Class 11 and above in Maharashtra. The selected candidates will receive reimbursement of tuition fees, exam fees, and other admissible fees.Source:Aaple Sarkar DBT Portal",min.socjustice@maharashtra.gov.in,Null,https://mahadbt.maharashtra.gov.in/,mixed,"{'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/2.pdf', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AE3B184954F87E9F7', 'Original website': 'https://mahadbt.maharashtra.gov.in/'}","Department of Social Justice and Special Assistance, Government of Maharashtra
Email ID:
min.socjustice@maharashtra.gov.in
| Helpline Number:
(022)-22025251"
"State Government Open Merit Scholarship, Maharashtra 2024-25",Class 12 passed students,India,Closed,₹100 per month,"State Government Open Merit Scholarship, Maharashtra 2024-25 is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to financially help Class 12 passed students of Maharashtra. Selected candidates will receive ₹100 per month.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AC3C0DE50B5557546,monetary,{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AC3C0DE50B5557546'},"Directorate of Higher Education (DHE), Government of Maharashtra
411, Fourth Floor, Mantralaya Annex,
Madam Cama Road, Nariman Point,
Mumbai - 400032
Phone Number:
(022)-22025301"
"Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship, Maharashtra 2024-25",Class 11 and 12 students,India,Closed,₹300 per month for 10 months,"Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship, Maharashtra 2024-25 is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra to provide financial assistance to Scheduled Caste (SC) students of Class 11 and 12. Selected students will receive ₹300 per month for 10 months.Source:Aaple Sarkar DBT Portal",min.socjustice@maharashtra.gov.in,Null,https://mahadbt.maharashtra.gov.in,monetary,"{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A3160277BCF2AA7C6', 'Original website': 'https://mahadbt.maharashtra.gov.in', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/4.pdf'}","Department of Social Justice and Special Assistance, Government of Maharashtra
Email ID:
min.socjustice@maharashtra.gov.in
| Helpline Number:
(022)-49150800"
"MAFSU Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna (EBC) Students, Maharashtra 2024-25",EWC category students admitted to diploma/degree/postgraduate professional courses through Centralised Admission Process (CAP).,India,Closed,Reimbursement of up to 100% tuition and exam fees,"MAFSU Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna (EBC) Students, Maharashtra 2024-25 is an initiative of the Maharashtra Animal and Fishery Sciences University (MAFSU), Government of Maharashtra. It aims to provide financial assistance to students from the Economically Backward Class (EBC) category who are enrolled in diploma, degree, or postgraduate professional courses through the Centralised Admission Process (CAP). Selected students will receive a reimbursement of up to 100% of tuition and exam fees.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/Home/Index,mixed,"{'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/24.pdf', 'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AA804BF8946610BEA'}","Department of Maharashtra Animal and Fishery Sciences University(MAFSU),
Government of Maharashtra
Futala Lake Road, Nagpur - 440 001
Registrar Office:-
Phone Number:
(0712)-2511784; (0712)-2511785; (0712)-2511787 |
Fax Number:
(0712)-2511273"
"State Minority Scholarship Part II (DHE), Maharashtra 2024-25",Graduate and postgraduate degree students,India,Closed,"Total annual course fee or ₹5,000 (whichever is lower)","State Minority Scholarship Part II (DHE), Maharashtra 2024-25 is an initiative of the Minority Development, Government of Maharashtra to provide financial help to students pursuing graduate and postgraduate degrees in Arts, Commerce, Science, Law, and Education courses. The selected students will receive a total annual course fee of ₹5,000 (whichever is less).Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A78F1DC35C6E48797,monetary,{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A78F1DC35C6E48797'},"Department: Department of Minority Development
5th & 7th Floor,
Mantralaya Extension Building, Hutatma Rajguru Chowk,
Madam Cama Marg, Mumbai - 40032"
"Savitribai Phule Scholarship for SC Girl Students of Class 5 to 10, Maharashtra 2024-25",Female SC students of Classes 5 to 10,India,Closed,Up to ₹100 per month for 10 months,"The Savitribai Phule Scholarship for SC Girl Students of Class 5 to 10, Maharashtra 2024-25 is an opportunity provided by the Social Justice and Special Assistance Department, Government of Maharashtra for female students belonging to Scheduled Caste (SC) who are pursuing pre-matric studies. Selected candidates will receive up to ₹100 per month for 10 months.Source:Aaple Sarkar DBT Portal",min.socjustice@maharashtra.gov.in,Null,https://mahadbt.maharashtra.gov.in/,monetary,"{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A8FE969DA87030502', 'Original website': 'https://mahadbt.maharashtra.gov.in/'}","Social Justice & Special Assistance Department
1st Floor, Annex Building
Mantralay, Madam Cama Road
Hutatma Rajguru Chowk, Nariman Point
Mumbai - 400032
Email ID:
min.socjustice@maharashtra.gov.in
| Phone Number:
(022) 22025251, 22028660, 22843665, 220231652"
"Tuition Fees and Examination Fees to SBC Students, Maharashtra 2024-25",SBC students studying in Class 11 and above,India,Closed,100% tuition fees and examination fees reimbursement,"Tuition Fees and Examination Fees to SBC Students, Maharashtra 2024-25 is an opportunity provided by the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra to Special Backward Classes (SBC) students pursuing studies in Class 11 and above. The scholarship aims to create opportunities for students to pursue higher education. The selected students will receive 100% tuition fees and exam fee reimbursement.Source:Aaple Sarkar DBT Portal",Null,18001208040,https://mahadbtmahait.gov.in,mixed,"{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A2406A5294F822FAC', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/30.pdf', 'Original website': 'https://mahadbtmahait.gov.in'}","VJNT, OBC and SBC Welfare Department, Maharashtra
Annex Building-139, First Floor, Mantralaya
Madam Cama Road, Hutatma Rajguru Chawk
Mumbai 400032
Phone Number:
18001208040"
"Tuition Fees and Examination Fees to OBC Students, Maharashtra 2024-25",OBC students studying in Class 11 and above,India,Closed,"Up to 100% reimbursement in tuition, exams, and other admissible fees","Tuition Fees and Examination Fees to OBC Students, Maharashtra 2024-25 is an opportunity provided by the VJNT, OBC, and SBC Welfare Department, Government to Maharashtra for Other Backward Classes (OBC) students pursuing post-matric education (Class 11 and above). Selected scholars will receive up to 100% reimbursement for tuition, exams, and other admissible fees.Source:Aaple Sarkar DBT Portal",Null,18001208040,https://mahadbt.maharashtra.gov.in/Home/Index,mixed,"{'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/30.pdf', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A8311355D6F13BE56'}","VJNT, OBC and SBC Welfare Department, Maharashtra
Annex Building-139, First Floor, Mantralaya
Madam Cama Road, Hutatma Rajguru Chawk
Mumbai 400032
Phone Number:
18001208040"
"Dr. Ambedkar Medhavi Chhattar Sanshodhit Yojna, Haryana 2024-25",Students in classes 11 to postgraduation,India,Closed,"A scholarship of ₹8,000 to ₹12,000 per annum","Dr. Ambedkar Medhavi Chhattar Sanshodhit Yojna, Haryana 2024-25 is an opportunity offered by the Directorate of Welfare of Scheduled Caste and Backward Classes, Government of Haryana to students studying in class 11 to postgraduation level. The scheme aims to financially assist meritorious students of Scheduled Castes, Backward Classes, Nomadic, DNTs, Semi-Nomadic, Vimukt Jaati and Tapriwas Jaati in the field of education. Selected candidates will receive a scholarship per annum ranging from ₹8,000 to ₹12,000.Source:Government of Haryana",dbcharyana@gmail.com,0172-2564006,https://saralharyana.gov.in/,monetary,"{'Latest scholarship link': 'https://haryanascbc.gov.in/online-applications-are-invited-under-dr-ambedkar-medhavi-chhattar-sanshodhit-yojna-for-the-year-1', 'Apply online link': 'https://saralharyana.gov.in/'}","Directorate of Welfare of Scheduled Castes and Backward Classes
Bays No. 53-54, Kalyan Bhawan, Sector - 2,
Panchkula - 134109
Haryana, India
Email ID:
dbcharyana@gmail.com
| Phone Number:
0172-2564006"
"Tuition Fees and Examination Fees to VJNT Students, Maharashtra 2024-25",VJNT category students studying at post-matric level,India,Closed,"Up to 100% reimbursement for tuition, exams, and other admissible fees","Tuition Fees and Examination Fees to VJNT Students, Maharashtra 2024-25 is an opportunity provided by the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra, for Vimukta Jatis & Nomadic Tribes (VJNT) category students pursuing post-matric education (from Class 11 and above). The scholarship provides financial aid for pursuing higher education. The selected scholars will receive up to 100% reimbursement for tuition, exams, and other admissible fees.Source:Aaple Sarkar DBT Portal",jdvjnt@maharashtra.gov.in,18001208040,https://mahadbt.maharashtra.gov.in/Home/Index,mixed,"{'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/30.pdf', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AF84D5DECD4CA9AB5'}","VJNT, OBC and SBC Welfare Department, Maharashtra
3 Church Road, Pune 1
Email ID:
jdvjnt@maharashtra.gov.in
| Phone Number:
18001208040"
"Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship for VJNT and SBC Category, Maharashtra 2024-25",Students enrolled in Class 11 and 12,India,Closed,A monthly scholarship of ₹300 for 10 months,"Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship for VJNT and SBC Category, Maharashtra 2024-25 is an opportunity provided by the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra for Vimukta Jati and Nomadic Tribes (VJNT) and Special Backward Class (SBC) category for students studying in Class 11 and 12. This scheme aims to foster an interest in learning among the students by providing financial assistance to pursue higher education. Selected students will receive ₹300 per month for ten months.Source:Aaple Sarkar DBT Portal",jdvjnt@maharashtra.gov.in,18001208040,https://mahadbt.maharashtra.gov.in/Home/Index,monetary,"{'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/32.pdf', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AAB0ACBF92AD2F649', 'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index'}","VJNT, OBC and SBC Welfare Department, Maharashtra
3 Church Road, Pune 1
Email ID:
jdvjnt@maharashtra.gov.in
| Phone Number:
18001208040"
"Post-Matric Scholarship to OBC Students, Maharashtra 2024-25",OBC students studying in Class 11 and above,India,Closed,A monthly maintenance allowance up to ₹425 and other benefits,"Post Matric Scholarship to OBC Students, Maharashtra 2024-25 is an opportunity offered by the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra to financially help Other Backward Classes (OBC) students studying in Class 11 and above. The scheme aims to foster a passion for higher education among the students by providing them with financial assistance for their educational expenses. The selected students will receive a monthly maintenance allowance of up to ₹425 and other benefits.Source:Aaple Sarkar DBT Portal",Null,18001208040,https://mahadbt.maharashtra.gov.in/Home/Index,monetary,"{'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AC54E5F6E794BD5C1', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/29.pdf'}","VJNT, OBC and SBC Welfare Department, Maharashtra
Annex Building-139, First Floor, Mantralaya
Madam Cama Road, Hutatma Rajguru Chawk
Mumbai 400032
Phone Number:
18001208040"
