name,Eligibility,Region,Deadline,Award,Description,Email,Contact Number,link,category,Links,contactDetails
DTU PhD Scholarship In Applied Mathematics 2025,Ph.D. applicants,Denmark,01-Aug-2025,Full-time funded scholarship,DTU PhD Scholarship In Applied Mathematics 2025 is offered by the Denmark Technical University (DTU) for postgraduate applicants. The scholarship is a prestigious financial award designed to support outstanding students who want to gain experience and qualifications in advanced mathemetics. Selected candidates will be funded for 3 years.Source:efzu.fa.em2.oraclecloud.com,krkri@dtu.dk,Null,https://efzu.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/da/sites/CX_2001/job/5081,monetary,{'Apply online link': 'https://efzu.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/da/sites/CX_2001/job/5081'},"Denmark Technical University
Mathematiktorvet, Kgs. Lyngby
2800, DK
Email ID:
krkri@dtu.dk"
"Mukti’s Talented Students Sponsorship Program, West Bengal 2025-26",West Bengal students pursuing bachelor's/master's degree,India,10-Aug-2025,Financial assistance,"Mukti’s Talented Students Sponsorship Program, West Bengal 2025-26 is an opportunity provided by Mukti to students of West Bengal pursuing their bachelor's/master's degree. It aims to assist meritorious and underprivileged students in their academic pursuits. Selected candidates will receive financial aid.Source:muktiweb.org",info@muktiweb.org,9874396489,"https://muktiweb.org/apply-now-for-mukti-tss-udaan-scholarships-2025-26/#:~:text=MUKTI%20is%20now%20inviting%20applications,%F0%9F%8E%93%20Who%20Can%20Apply%3F",other,"{'Apply online link': 'https://muktiweb.org/apply-now-for-mukti-tss-udaan-scholarships-2025-26/#:~:text=MUKTI%20is%20now%20inviting%20applications,%F0%9F%8E%93%20Who%20Can%20Apply%3F'}","Mukti
City Office
22 Canal Side Road, Garia
Kolkata-700084
Email ID:
info@muktiweb.org |
Phone Number
: (+91) 9874396489/9903761504"
Sightsavers India Fellowship Program 2025-26,Postgraduate or Diploma holders in Ophthalmology,India,15-Aug-2025,"A monthly stipend of up to ₹75,000 and other benefits","Sightsavers India Fellowship Program 2025-26 is an opportunity for young ophthalmologists offered by Sightsavers India. This fellowship program is designed for postgraduates or diploma holders in ophthalmology (MS/DNB/DO) to gain training at some of India's leading eye health institutes. The program focuses on identifying and nurturing talented candidates through an innovative course that enhances their perspectives on rural eye health. Selected fellows will receive a monthly stipend of up to ₹75,000 and other benefits.Sightsavers* is a non-governmental organisation (NGO) that works to prevent avoidable blindness and promote equality for people with visual impairments and disabilities, particularly in developing countries.Source:Sightsavers India",indiafellowship@sightsavers.org,9818157997,https://www.sightsaversindia.in/,monetary,"{'Latest scholarship link': 'https://indiafellowshipprogram.sightsaversindia.org/assets/fellowship/files/Sightsavers_India_Fellowship_Brochure_2025.pdf', 'Media Link': 'https://indiafellowshipprogram.sightsaversindia.in/', 'Apply online link': 'https://indiafellowshipprogram.sightsaversindia.in/', 'Original website': 'https://www.sightsaversindia.in/'}","Sightsavers
45, Second Floor,
Okhla Industrial Estate,
Phase III New Delhi - 110 020
Email ID:
indiafellowship@sightsavers.org |
Phone Number:
(+91) 9818157997"
Inlaks Theatre Awards 2026,Graduate/Postgraduate degree holders,India,15-Aug-2025,"₹15,000 per month","The Inlaks Theatre Awards 2026, an initiative of the Inlaks Shivdasani Foundation, aims to extend financial support to students who are seeking opportunities to enhance their skills in the field of theatre arts. Under this program, students get the opportunity to participate in training workshops, residencies, or any other activity that they consider suitable, with a maximum duration of one year. Selected candidates will receive an amount of ₹15,000 per month for the duration of the course.Source:inlaksfoundation.org",info@inlaksfoundation.org,Null,https://inlaksfoundation.org/,monetary,"{'Apply online link': 'https://inlaksfoundation.org/', 'Media Link': 'https://www.buddy4study.com/scholarship/inlaks-theatre-awards'}","Inlaks Shivdasani Foundation
Email ID:
info@inlaksfoundation.org"
Inlaks Fine Arts Awards 2026,Emerging young artists,India,15-Aug-2025,"₹3,00,000 per annum","Inlaks Fine Arts Awards 2026 is an opportunity offered by the Inlaks Shivdasani Foundation (a non-profit organisation) for emerging young artists to develop their creative talent. Selected students will receive financial assistance of ₹3,00,000 per year to enable them to work independently anywhere in India.Source:inlaksfoundation.org",gladys@inlaksfoundation.org,Null,https://inlaksfoundation.org/opportunities/awards/inlaks-fine-art-award/,monetary,"{'Apply online link': 'https://inlaksfoundation.org/opportunities/awards/inlaks-fine-art-award/', 'Media Link': 'https://www.buddy4study.com/scholarship/inlaks-fine-arts-awards'}","Inlaks Shivdasani Foundation
Email ID:
gladys@inlaksfoundation.org, info@inlaksfoundation.org"
Griffith University Vice Chancellor's International Scholarship 2025,Students with an offer for undergraduate or postgraduate programs,India,16-Aug-2025,Covers 50% of the tuition fee,The Griffith University Vice Chancellor's International Scholarship 2025 is an opportunity provided by Griffith University to students with an offer for undergraduate or postgraduate programmes at the university. It aims to support the education of exceptional international students. The selected students will receive a reward that covers 50% of their tuition fees.Source:griffith.edu.au,Null,+61 7 3735 6425,https://www.griffith.edu.au/international/scholarships-finance/scholarships/vice-chancellors-international-scholarship,mixed,{'Apply online link': 'https://www.griffith.edu.au/international/scholarships-finance/scholarships/vice-chancellors-international-scholarship'},"Griffith University
Phone No. +61 7 3735 6425"
"NSP Sainik School Scholarship Scheme, Himachal Pradesh 2025-26",Students in Class 6 to 12,India,30-Aug-2025,"₹18,000 per annum and other allowances","Sainik School Scholarship Scheme, Himachal Pradesh 2025 is an opportunity offered by the Education Department, Government of Himachal Pradesh, to provide financial assistance to male students studying in classes 6 to 12 at Sainik School, Sujanpur Tihra. The selected candidates will receive ₹18,000 per annum and other allowances.Source:scholarship.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},Government of Himachal Pradesh
"NSP Mukhya Mantri Vidyarthi Kalyan Yojna, Himachal Pradesh 2025",Class 1 to UG students of Himachal Pradesh,India,30-Aug-2025,"Up to ₹5,000 per annum","Mukhya Mantri Vidyarthi Kalyan Yojna, Himachal Pradesh 2025 is an initiative of the Government of Himachal Pradesh for Class 1 to UG students. The main objective of this scholarship is to encourage students to pursue higher education and enhance their employability. The selected candidates will receive a scholarship of ₹5,000 per annum.Source:scholarships.gov.in",group1-hp@nic.in,77 2622204,https://scholarships.gov.in,monetary,{'Apply online link': 'https://scholarships.gov.in'},"Government of Himachal Pradesh
HP Secretariat, Shimla
Email ID:
group1-hp@nic.in
| Phone Number:
(+911) 77 2622204"
Karnataka Students Welfare Society Scholarship Program 2025-26,"Undergraduate, graduate and postgraduate students",,30-Aug-2025,"A scholarship of ₹10,000 - ₹1,00,000","The Karnataka Students Welfare Society Scholarship Program 2025-26 is offered by the Karnataka Students Welfare Trust, aimed at providing financial support to students in South India for higher education after high school. It aims to help South-Indian students pursue their career goals and personal aspirations by providing financial assistance. Selected candidates will receive scholarships from ₹10,000 to ₹1,00,000.Source:kswsonline.com",kswskarnataka@gmail.com,8277040402,https://kswsonline.com/contact.html,monetary,{'Apply online link': 'https://kswsonline.com/contact.html'},"Karnataka Students Welfare Society
Electronic City, Bangalore
Email ID:
kswskarnataka@gmail.com
| Phone Number:
(+91) 8277040402"
Fulbright Foreign Language Teaching Assistant Program 2025-26,Master's Degree in English Language,United States,31-Aug-2025,Monthly Stipend and Other benefits,"Fulbright Foreign Language Teaching Assistant Program 2025-26 is an initiative by the United States-India Educational Foundation (USIEF) for early-career English teachers teaching at the college level or training to become a teacher of English, or professionals in related fields (e.g., American Studies, American/English Literature, etc.). The selected fellows under this program receive monthly stipend with other multiple benefits.Source:The United States-India Educational Foundation",info@usief.org.in,Null,https://www.usief.org.in/,monetary,"{'Original website': 'https://www.usief.org.in/', 'Apply online link': 'https://apply.iie.org/apply/?sr=075faaf5-88d3-41d5-bb5c-5ac22674f5f6', 'Latest scholarship link': 'https://www.usief.org.in/fulbright-fellowships/fellowships-for-indian-citizen/fulbright-foreign-language-teaching-assistant-flta-program/'}","United States-India Educational Foundation
12, Hailey Road
New Delhi - 110 001
Email ID:
info@usief.org.in"
Dalai Lama Trust Scholarship 2025,Undergraduate and postgraduate applicants,India,31-Aug-2025,Fully funded scholarships,"The Dalai Lama Trust Scholarship 2025 is designed to empower students pursuing undergraduate and postgraduate studies. It is offered by the Dalai Lama Trust, supporting students who demonstrate academic potential, strong moral character, or come from financially challenged backgrounds. Selected candidates will receive fully funded scholarships.Source:dalailamatrust.org",contact@dalailamatrust.org,189 222 1343,https://dalailamatrust.org/dalai-lama-trust-scholarship-2025/,monetary,"{'Apply online link': 'https://dalailamatrust.org/dalai-lama-trust-scholarship-2025/', 'Media Link': 'https://www.buddy4study.com/scholarship/dalai-lama-trust-scholarship'}","Dalai Lama Trust
Theckchen chorling
Po Mcleod Ganj
Dharamsala-176219
India (HP)
Email ID:
contact@dalailamatrust.org
| Phone Number: (+91)
189 222 1343/1879"
Coventry University Sports Scholarships 2025,UG and PG students who demonstrate excellence in sports at the national or international level,India,31-Aug-2025,"Annual sports scholarship ranging from £1,500 (₹1,76,683) to £3,000 (₹3,53,413)","The Coventry University Sports Scholarships 2025 is an opportunity provided by Coventry University to UG and PG students who demonstrate excellence in sports at the national or international level. It aims to support the education of exceptional international students. The selected students will receive an annual sports scholarship of £3,000 (₹3,53,413).Source:coventry.ac.uk",t.shakespeare@coventry.ac.uk,02477 655979,https://www.coventry.ac.uk/life-on-campus/student-life/sport-coventry/sports-scholarships/,monetary,{'Apply online link': 'https://www.coventry.ac.uk/life-on-campus/student-life/sport-coventry/sports-scholarships/'},"Coventry University
Priory Street
Coventry CV1 5FB
United Kingdom
Email ID:
t.shakespeare@coventry.ac.uk |
Phone Number:
02477 655979"
Nilam Patel Bahushrut Foundation Study Abroad Scholarship 2025,Hearing Impaired students of Maharashtra and Gujarat.,Abroad,31-Aug-2025,"Scholarships, prizes and awards","Nilam Patel Bahushrut Foundation Study Abroad Scholarship 2025, is an initiatve by the Nilam Patel Bahushrut Foundation (a public charitable trust) to support hearing-impaired students from Gujarat and Maharashtra. The selected students will receive:scholarships, prizes and awards for higher studiesSource:Nilam Patel Bahushrut Foundation",npbf@bahushrutfoundation.org,265-2250157,http://www.bahushrutfoundation.org/,monetary,"{'Original website': 'http://www.bahushrutfoundation.org/', 'Apply online link': 'https://www.bahushrutfoundation.org/application-forms', 'Latest scholarship link': 'https://www.bahushrutfoundation.org/_files/ugd/2d9701_f79a892c60284e798048852f357e02b5.pdf'}","Nilam Patel Bahushrut Foundation
303, Aries Palms, Tower – B
5/6 Shobhana Nagar
Vasana Road, Vadodara - 390015
Gujarat, India
Email ID:
npbf@bahushrutfoundation.org, nilampatel62@gmail.com
| Phone Number:
(+91)-265-2250157"
Nilam Patel Bahushrut Foundation HSC & Above Students Scholarship 2025,"Hearing-impaired students in HSC, UG, PG level in Gujarat & Maharashtra",India,31-Aug-2025,"A scholarship assistance, prizes and awards","Nilam Patel Bahushrut Foundation HSC & Above Students Scholarship 2025is an initiatve by the Nilam Patel Bahushrut Foundation (a public charitable trust) to support hearing-impaired students from Gujarat and Maharashtra. The selected students will receive scholarships, prizes and awards for higher studies.Source:Nilam Patel Bahushrut Foundation",npbf@bahushrutfoundation.org,265-2250157,http://www.bahushrutfoundation.org/,monetary,"{'Apply online link': 'https://www.bahushrutfoundation.org/application-forms', 'Original website': 'http://www.bahushrutfoundation.org/', 'Latest scholarship link': 'https://www.bahushrutfoundation.org/_files/ugd/2d9701_3b59bdd4ed6547b68252d76b5b46d05b.pdf'}","Nilam Patel Bahushrut Foundation
303, Aries Palms, Tower – B
5/6 Shobhana Nagar
Vasana Road, Vadodara - 390015
Gujarat, India
Email ID:
npbf@bahushrutfoundation.org, nilampatel62@gmail.com
Telephone Number:
(+91)-265-2250157"
Nilam Patel Bahushrut Foundation SSC Students Scholarship 2025,Hearing impaired Class 10 passed students of Gujarat and Maharashtra,India,31-Aug-2025,"Scholarships, prizes and special awards",Nilam Patel Bahushrut Foundation SSC Students Scholarship 2025 is an initiative of the Nilam Patel Bahushrut Foundation (a public charitable trust) to support hearing-impaired students from Gujarat and Maharashtra. This scholarship is available only to students who have passed the SSC level examination in 2025. The main objective of this program is to promote equal opportunities by awarding annual merit-based scholarships and prizes to deserving hearing-impaired students.Source:Nilam Patel Bahushrut Foundation,npbf@bahushrutfoundation.org,265-2250157,http://www.bahushrutfoundation.org/,monetary,"{'Latest scholarship link': 'https://www.bahushrutfoundation.org/_files/ugd/2d9701_341d13172de746fbb1167d265cc3eb11.pdf', 'Apply online link': 'https://www.bahushrutfoundation.org/application-forms', 'Original website': 'http://www.bahushrutfoundation.org/'}","Nilam Patel Bahushrut Foundation
303, Aries Palms, Tower – B
5/6 Shobhana Nagar
Vasana Road, Vadodara - 390015
Gujarat, India
Email ID:
npbf@bahushrutfoundation.org, nilampatel62@gmail.com
| Phone Number:
(+91)-265-2250157"
National Means-cum-Merit Scholarship Scheme 2025-26,Students enrolled in Class 9,India,31-Aug-2025,"₹12,000 per annum","National Means-cum-Merit Scholarship Scheme 2025-26 is an initiative of the Department of School Education and Literacy, Government of India for students enrolled in Class 9 in government, government-aided, and local body schools. The scheme aims to provide financial assistance to meritorious students belonging to the EWS category to prevent their dropouts at Class 8 and encourage them to continue their studies at the secondary stage. The selected candidates will receive a scholarship of ₹12,000 per annum.Source:scholarships.gov.in",helpdesk@nsp.gov.in,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Education
Department of School Education & Literacy
Shastri Bhawan, Dr Rajendra Prasad Rd
Rajpath Area, Central Secretariat
New Delhi-110001
Email ID:
helpdesk@nsp.gov.in
| Phone Number:
(0120) 661954"
"NSP Pre-Matric Scholarship Scheme for Minority (State Sector), Uttarakhand 2025-26",Minority students studying in Classes 1 to 10,India,31-Aug-2025,Up to ₹120 per month,"NSP Pre-Matric Scholarship Scheme for Minority (State Sector), Uttarakhand 2025-26 is an opportunity offered by the Uttarakhand Minorities Commission to financially help the students belonging to minority communities of the state including Muslim, Christian, Parsi, Sikh, Buddhist, and Jain who are studying in Class 1 to 10. The scholarship aims to support the education of minority community students belonging to Uttarakhand. The selected students will receive a scholarship of up to ₹120 per month.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Uttarakhand Minorities Commission
8378+867, Near ATS,
Saheed Bhagat Singh Colony, Adhoiwala,
Dehradun, Uttarakhand - 248001
Phone Number:
(0135)-278 1201"
"NSP Financial Assistance For Education To The Wards Of Beedi/Cine/Iomc/Lsdm, Pre-Matric 2025-26",Wards of Beedi/Cine/IOMC/LSDM workers,India,31-Aug-2025,"A financial assistance of up to ₹2,000 per annum","NSP Financial Assistance For Education To The Wards Of Beedi/Cine/Iomc/Lsdm, Pre-Matric 2025-26 is an initiative for wards of Beedi/Cine/IOMC/LSDM workers who are studying in Class 1-10. The scholarship is being offered by the Ministry of Labour and Employment, Government of India. The main objective of this scheme is to ensure that no child is working in any hazardous sector as labour. Selected students will receive financial assistance of up to ₹2,000 per annum.Source:scholarships.gov.in",helpdesk@nsp.gov.in,0120-6619540,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Labour & Employment, Government of India
Shram Shakti Bhawan Rafi Marg
New Delhi - 110001
Email ID: helpdesk@nsp.gov.in | Phone Number: 0120-6619540"
"PM YASASVI Central Sector Scheme of Top Class Education in Schools for OBC, EBC and DNT Students 2025-26",Students studying in Class 9 to 12,India,31-Aug-2025,"A scholarship up to ₹1,25,000 per annum","PM Yasasvi Central Sector Scheme of Top Class Education in Schools for OBC, EBC, and DNT Students 2025-26 is an opportunity offered by the Ministry of Social Justice & Empowerment, Government of India, to students belonging to OBC, EBC, and DNT categories. The scheme aims to support meritorious students by funding their education from Class 9 onwards till they complete Class 12. The selected students will receive a scholarship of up to ₹1,25,000 for tuition, hostel fees, and other school charges.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,"{'Media Link': 'https://www.buddy4study.com/scholarship/pm-yasasvi-central-sector-scheme-of-top-class-education-in-schools-for-obc-ebc-and-dnt-students', 'Apply online link': 'https://scholarships.gov.in/'}","Ministry of Social Justice and Empowerment, Government of India
Shri Rajesh Kumar Makkar, Director
Room No. 637, A-Wing, Shastri Bhawan
New Delhi - 110001"
R D Sethna Loan Scholarship 2025,Indian students pursuing higher education,India,31-Aug-2025,Scholarship loan to support higher studies,"The R D Sethna Loan Scholarship 2025 is an opportunity provided by the R D Sethna Scholarship Fund to Indian students pursuing higher education. These scholarships are investments in young citizens, empowering them to pursue their academic and professional goals. Loan scholarships are awarded based on meritorious performance to help students pay for tuition, academic materials, and other relevant expenses that would improve their educational experience. Selected candidates will receive a scholarship loan at an interest rate of 2% per annum.Source:rdsethnascholarships.org",rdsethnascholarship@gmail.com,Null,https://www.rdsethnascholarships.org/application-fees/,monetary,{'Apply online link': 'https://www.rdsethnascholarships.org/application-fees/'},"R.D. Sethna Scholarship Fund
Esplanade House
29, Hazarimal Somani Marg, Fort
Mumbai – 400 001
Email ID:
rdsethnascholarship@gmail.com
| Phone Number:
(+91 22) 22077044"
University of Sussex India Scholarship (Masters) 2025,Indian national accepted for a Master’s course,India,01-Sep-2025,"A scholarship of GBP 4,000 towards tuition fee waiver","The University of Sussex India Scholarship (Master's) 2025 is offered by the University of Sussex to support high-achieving students from India who wish to pursue a full-time Master’s degree program starting in September 2025. This scholarship aims to make world-class education at Sussex more accessible for talented Indian students. The selected students will receive a GBP 4,000 tuition fee reduction.Source:sussex.ac.uk",scholarships@sussex.ac.uk,1273 606755,https://www.sussex.ac.uk/study/fees-funding/masters-scholarships/view/1767-Sussex-India-Scholarship-Masters,mixed,{'Apply online link': 'https://www.sussex.ac.uk/study/fees-funding/masters-scholarships/view/1767-Sussex-India-Scholarship-Masters'},"University of Sussex
Sussex House, Falmer
Brighton, BN1 9RH
United Kingdom
Email ID:
scholarships@sussex.ac.uk |
Phone No.
+44 (0)1273 606755"
Teach for India Fellowship 2026,Graduate students,India,07-Sep-2025,"A monthly stipend of ₹25,344 and other benefits","Teach for India Fellowship 2026 is an opportunity offered by Teach For India (a non-profit organisation) to young graduates from universities and workplaces to serve as full-time teachers for children in underserved communities. Under this fellowship, the selected fellows will explore the leadership knowledge, skills, and mindset required for educational equity. The selected fellows will receive a monthly stipend of ₹25,344 and additional benefits.Source:teachforindia.org",apply@teachforindia.org,22 25194283,https://apply.teachforindia.org/,monetary,{'Apply online link': 'https://apply.teachforindia.org/'},"Teach For India
Godrej One, 2nd Floor, Pirojshanagar
Eastern Express Highway, Vikhroli (East)
Mumbai - 400079
Email ID:
apply@teachforindia.org
| Phone Number:
(+91) 22 25194283/25194284"
"NSP Post-Matric Scholarship for OBC Students, Assam 2025-26",OBC students studying in Class 11 and above,India,30-Sep-2025,"Scholarships up to ₹20,000 and other benefits","Post-Matric Scholarship for OBC Students, Assam 2025-26 is an opportunity to provide financial support to students in Class 11 and above. The scheme is being offered by the Ministry of Social Justice and Empowerment and implemented by the Directorate of Welfare of Plain Tribes & Backwards Classes (DWPTBC), Government of Assam. Under this scheme, selected candidates will receive scholarships up to ₹20,000 and other benefits.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice & Empowerment, Government of India
Room no. 202, 2nd floor C-wing,
Shastri Bhawan, New Delhi, Delhi-110001
Directorate of Welfare of Plain Tribes & Backward Classes (DWPTBC), Government of Assam
Satrinivash Path,Rukmini Nagar, Guwahati-6"
"NSP Pre-Matric Scholarship For ST Students (State Sector), Uttarakhand 2025-26",ST students in Class 1 to 10,India,30-Sep-2025,"An annual scholarship of up to ₹6,250","NSP Pre-Matric Scholarship For ST Students (State Sector), Uttarakhand 2025-26 is an initiative of the Social Welfare Department, Government of Uttarakhand, to financially aid ST students studying in Classes 1 to 10 in government or government-aided schools in the state. The scholarship aims to encourage and support the education of these students and reduce the financial burden on their families. Selected candidates will receive an annual scholarship grant of up to ₹6,250.Source:scholarships.gov.in",directorsocialwelfare@gmail.com,05946-297051,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Social Welfare Department, Government of Uttarakhand
Manpur Purba, Rampur Road, Haldwani
Near Dainik Jagran/Amar Ujala Press, Haldwani
District-Nainital, Uttarakhand
Email ID:
directorsocialwelfare@gmail.com |
Phone Number:
05946-297051"
"NSP Post-Matric Scholarship For OBC Students, Uttarakhand 2025",OBC students in Class 11 and above,India,30-Sep-2025,Up to ₹750 per month,"NSP Post-Matric Scholarship For OBC Students, Uttarakhand 2025 is an initiative of the Uttarakhand Government providing financial assistance to students belonging to the Other Backwards Classes (OBC) category and studying in Class 11 and above. Selected students will receive benefits of up to ₹750 per month.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in,monetary,{'Apply online link': 'https://scholarships.gov.in'},Uttarakhand Government
"NSP Pre-Matric Scholarship For SC Students (Center Sector), Uttarakhand 2025",SC students in Class 1 to 10,India,30-Sep-2025,"Up to ₹6,250 per annum","NSP Pre-Matric Scholarship For SC Students (Center Sector), Uttarakhand 2025 is an opportunity offered by the Central Government to support Scheduled Caste (SC) students in completing their pre-matriculation education in Uttarakhand. This scholarship aims to support the studies of economically weaker students of the state. Selected students will receive an annual scholarship of up to ₹6,250.Source:scholarships.gov.in",directorsocialwelfare@gmail.com,05946-297051,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Social Welfare Department, Government of Uttarakhand
Manpur Purba, Rampur Road, Haldwani
Near Dainik Jagran/Amar Ujala Press, Haldwani
District-Nainital, Uttarakhand
Email ID:
directorsocialwelfare@gmail.com |
Phone Number:
05946-297051"
"NSP Pre-Matric Scholarship for OBC Students, Assam 2025-26",OBC students studying in Class 9 and 10,India,30-Sep-2025,"A consolidated academic allowance of ₹4,000 per annum","Pre-Matric Scholarship for OBC Students, Assam 2025-26 is an opportunity provided by the Ministry of Social Justice & Empowerment, Government of India, to provide financial assistance to Other Backwards Classes (OBC) category students of the state who are studying in Class 9 and 10. The selected students will receive a consolidated academic allowance of ₹4,000 per annum.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice and Empowerment
A-Wing, Shastri Bhawan
New Delhi - 110001"
Central Sanskrit University (CSU) Merit Scholarship 2025-26,Students studying Sanskrit/Pali/Prakrit as a main or optional subject,India,30-Sep-2025,"A monthly scholarship of up to ₹2,500 and other benefits","Central Sanskrit University (CSU) Merit Scholarship 2025-26 is an opportunity provided under the Central Schemes of Ministry of Education, Government of India, to students pursuing studies of the Sanskrit/Pali/Prakrit language as a main or optional subject. The scholarship aims to encourage and promote the use of Sanskrit. Selected students will receive a monthly scholarship of up to ₹2,500 and other benefits.Source:Central Sanskrit University",help.schemes@csu.co.in,Null,https://www.sanskrit.nic.in/schemes/,monetary,"{'Apply online link': 'https://scholarship2025.sanskrit.ac.in/', 'Original website': 'https://www.sanskrit.nic.in/schemes/', 'Latest scholarship link': 'https://scholarship2025.sanskrit.ac.in/docs/Guidelines_English_2025.pdf', 'Others': 'https://www.sanskrit.nic.in/schemes/uploads/2025_04_02_Notification_sch.pdf', 'Media Link': 'https://www.buddy4study.com/scholarship/central-sanskrit-university-csu-merit-scholarship-2025-26'}","Central Sanskrit University
Director (Central Schemes)
56-57, Institutional Area,
Janakpuri, New Delhi - 110058
Email ID:
help.schemes@csu.co.in
| Phone Number: (011)
28524993, 28524995, 28520979, 28520966"
"PM YASASVI Pre-Matric Scholarship Scheme for OBC/EBC/DNT Students, Chandigarh 2025-26",Students of Chandigarh studying in Class 9 or 10,India,30-Sep-2025,"A consolidated annual academic allowance of ₹4,000","PM YASASVI Pre-Matric Scholarship Scheme for OBC/EBC/DNT Students, Chandigarh 2025-26 is an initiative of the Ministry of Social Justice and Empowerment, Government of India, for OBC, EBC, and DNT students in Classes 9 and 10. The scheme aims to motivate students and provide financial support to help them complete their pre-matriculation or secondary education. Selected students will receive a consolidated academic allowance of ₹4,000 per annum.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice and Empowerment, Government of India
Shri Bharat Lal Meena, Director
Room No. 637, A-Wing, Shastri Bhawan, New Delhi - 110001"
"Umbrella Scheme Pre-Matric ST Scholarship Class 9 and 10, Tripura 2025-26",ST students studying in Class 9 and 10,India,30-Sep-2025,A monthly scholarship of up to ₹ 525 for 10 months and other grants,"Umbrella Scheme Pre-Matric ST Scholarship Class 9 and 10, Tripura 2025-26 is an opportunity provided by the Ministry of Tribal Affairs, Government of India, for Scheduled Tribe (ST) students in Tripura studying in Class 9 and 10. The scholarship aims to support the education of these students to reduce the incidence of drop-out, especially in the transition from the elementary to the secondary stage. The selected candidates will receive a monthly scholarship of up to ₹525 for 10 months and other grants.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice & Empowerment, Government of India
Room no. 202, 2nd floor C-wing,
Shastri Bhawan, New Delhi, Delhi-110001"
"Umbrella Scheme Post-Matric Scholarships for ST Students, Tripura 2025-26",ST students studying in Class 11 and above,India,30-Sep-2025,"Monthly maintenance allowance of up to ₹1,200 and other benefits","Umbrella Scheme Post-Matric Scholarships for ST Students, Tripura 2025-26 is an opportunity provided by the Ministry of Tribal Affairs, Government of India to students studying in classes 11 and above in recognised institutions in Tripura. The scholarship aims to financially support the study of needy students belonging to the Scheduled Tribe (ST) category. The selected students will receive a monthly maintenance allowance of up to ₹1,200 and other benefits.Source:scholarship.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Tribal Affairs, Government of India
Rajendra Prasad Road,Shastri Bhawan
New Delhi - 110001"
"NSP Post-Matric Scholarship for EBC Students, Uttarakhand 2025-26",Economically Backward Class (EBC) students from Uttarakhand pursuing post-matriculation or post-secondary education,India,30-Sep-2025,"A monthly maintenance allowance up to ₹1,200 and other benefits","NSP Post-Matric Scholarship for EBC Students, Uttarakhand 2025-26 is an initiative of the Uttarakhand State Government to provide financial assistance to Economically Backwards Class (EBC) students from Uttarakhand pursuing post-matriculation or post-secondary education. Selected students will receive a monthly maintenance allowance of up to ₹1,200 and other benefits.Source:scholarships.gov.in",Null,11-24369835,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Department of Social Justice and Empowerment, Government of India
B-2, Ground Floor, Pt. Deendayal Antyodaya Bhawan,
CGO Complex, New Delhi - 110 003
Telephone Number:
(+91)-11-24369835"
"NSP Pre-Matric Scholarship for ST Students (Center Sector), Uttarakhand 2025-26",Scheduled Tribe (ST) students of the state studying in Classes 1 to 10,India,30-Sep-2025,"A maintenance allowance up to ₹6,250 per annum","NSP Pre-Matric Scholarship for ST Students (Centre Sector), Uttarakhand 2025-26 is an initiative of the Social Welfare Department, Government of Uttarakhand, to provide financial assistance to ST students of Classes 1 to 10. The selected students will receive up to ₹6,250 per annum.Source:scholarship.gov.in",directorsocialwelfare@gmail.com,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Social Welfare Department, Government of Uttarakhand
Maanpur Purab, Rampur Road,
Near Dainik Jagran/Amarujala Press,
Haldwani, Uttarakhand
Email ID:
directorsocialwelfare@gmail.com
| Phone Number:
(05946)-282813"
